Date;Day;Month;Year;Customer_Age;Age_Group;Customer_Gender;Country;State;Product_Category;Sub_Category;Product;Order_Quantity;Unit_Cost;Unit_Price;Profit;Cost;Revenue;Size;Color;Material;Warranty;Manufacturer;Rating;Shipping_Weight;Delivery_Time;Discount;Eco_Friendly;Shipping_Cost;Shipping_Company;Shipping_Type;Insurance;Return_Policy
27-08-2015;27;August;2015;57;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;148;90;238;Extra Large;Black;Steel;2 Years;Manufacturer D;2;5.83;9;11;True;29.58;DHL;Same Day;None;30 Days
27-08-2020;27;August;2020;57;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;74;45;119;Large;Blue;Aluminum;2 Years;Manufacturer C;1;14.65;7;23;True;67.94;DHL;Same Day;Premium;7 Days
17-11-2018;17;November;2018;29;Young Adults (25-34);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;886;540;1426;Medium;Red;Plastic;Lifetime;Manufacturer D;2;14.84;3;7;False;34.61;UPS;Express;None;30 Days
17-11-2015;17;November;2015;29;Young Adults (25-34);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;14;45;120;1033;630;1663;Small;Red;Carbon Fiber;Lifetime;Manufacturer C;5;9.03;6;5;True;54.41;Posti;Next Day;Basic;No Return
07-08-2022;7;August;2022;38;Adults (35-64);M;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;160;135;295;Extra Large;Black;Steel;2 Years;Manufacturer D;2;4.89;9;4;True;56.94;UPS;Standard;Basic;30 Days
07-08-2015;7;August;2015;38;Adults (35-64);M;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;53;45;98;Extra Large;Blue;Plastic;Lifetime;Manufacturer B;4;12.87;1;21;False;22.56;DHL;Standard;None;No Return
15-07-2013;15;July;2013;52;Adults (35-64);F;France;Seine Saint Denis;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;427;360;787;Large;Green;Carbon Fiber;2 Years;Manufacturer A;4;1.27;5;1;True;97.11;GLS;Same Day;Premium;30 Days
15-07-2022;15;July;2022;52;Adults (35-64);F;France;Seine Saint Denis;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;427;360;787;Small;Black;Plastic;1 Year;Manufacturer D;4;6.89;9;1;True;78.64;DHL;Express;Basic;No Return
17-08-2017;17;August;2017;43;Adults (35-64);F;France;Moselle;Accessories;Bike Racks;Hitch Rack - 4-Bike;28;45;120;1697;1260;2957;Small;White;Steel;Lifetime;Manufacturer D;4;9.69;4;14;False;94.25;UPS;Same Day;Premium;60 Days
17-08-2018;17;August;2018;43;Adults (35-64);F;France;Moselle;Accessories;Bike Racks;Hitch Rack - 4-Bike;27;45;120;1636;1215;2851;Medium;Blue;Plastic;2 Years;Manufacturer C;5;14.73;1;4;False;90.01;FedEx;Standard;None;No Return
17-07-2014;17;July;2014;24;Youth (<25);F;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;502;405;907;Extra Large;White;Plastic;2 Years;Manufacturer B;3;10.58;1;19;True;61.8;UPS;Standard;Basic;7 Days
17-07-2021;17;July;2021;24;Youth (<25);F;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;335;270;605;Extra Large;Green;Steel;Lifetime;Manufacturer B;1;3.85;5;19;True;92.58;UPS;Express;Premium;30 Days
31-12-2013;31;December;2013;23;Youth (<25);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;436;270;706;Extra Large;White;Carbon Fiber;2 Years;Manufacturer C;4;12.88;6;6;True;13.41;UPS;Same Day;Premium;30 Days
31-12-2023;31;December;2023;23;Youth (<25);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;508;315;823;Large;White;Aluminum;1 Year;Manufacturer D;2;10.04;2;11;False;23.62;Posti;Express;None;30 Days
17-09-2015;17;September;2015;29;Young Adults (25-34);F;United Kingdom;England;Accessories;Bike Racks;Hitch Rack - 4-Bike;15;45;120;1053;675;1728;Extra Large;Green;Carbon Fiber;3 Years;Manufacturer C;4;13.03;3;0;True;9.3;FedEx;Same Day;Premium;No Return
17-09-2023;17;September;2023;29;Young Adults (25-34);F;United Kingdom;England;Accessories;Bike Racks;Hitch Rack - 4-Bike;15;45;120;1053;675;1728;Large;White;Aluminum;3 Years;Manufacturer C;2;10.59;9;18;True;35.91;Posti;Same Day;Basic;7 Days
24-09-2021;24;September;2021;32;Young Adults (25-34);M;France;Nord;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;356;270;626;Large;Black;Plastic;3 Years;Manufacturer C;2;5.54;3;18;True;41.92;GLS;Same Day;Basic;60 Days
24-09-2013;24;September;2013;32;Young Adults (25-34);M;France;Nord;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;178;135;313;Large;Black;Steel;2 Years;Manufacturer C;4;2.19;3;16;True;30.78;Posti;Standard;Premium;No Return
25-09-2017;25;September;2017;19;Youth (<25);F;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;320;270;590;Small;White;Steel;Lifetime;Manufacturer C;5;10.53;7;23;False;83.73;DHL;Same Day;None;60 Days
25-09-2019;25;September;2019;19;Youth (<25);F;Germany;Saarland;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;427;360;787;Medium;Black;Steel;3 Years;Manufacturer A;2;3.45;1;12;True;38.89;DHL;Next Day;None;30 Days
26-11-2016;26;November;2016;26;Young Adults (25-34);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;517;315;832;Small;Black;Plastic;2 Years;Manufacturer B;2;1.45;9;24;True;31.69;GLS;Same Day;Premium;30 Days
26-11-2018;26;November;2018;26;Young Adults (25-34);F;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;590;360;950;Small;Green;Plastic;1 Year;Manufacturer D;4;4.74;8;14;False;56.56;DHL;Next Day;Basic;30 Days
03-08-2017;3;August;2017;35;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;74;45;119;Extra Large;Red;Aluminum;Lifetime;Manufacturer B;2;5.1;6;14;False;18.39;DHL;Same Day;None;30 Days
03-08-2014;3;August;2014;35;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;74;45;119;Medium;Blue;Plastic;1 Year;Manufacturer A;2;14.89;1;19;True;81.21;GLS;Standard;Basic;60 Days
19-06-2018;19;June;2018;35;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;738;450;1188;Extra Large;Black;Plastic;3 Years;Manufacturer B;4;8.67;8;21;True;12.08;UPS;Express;Premium;30 Days
19-06-2020;19;June;2020;35;Adults (35-64);M;Canada;British Columbia;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;886;540;1426;Large;Black;Steel;2 Years;Manufacturer C;4;14.86;9;27;False;98.75;GLS;Next Day;Premium;30 Days
04-03-2015;4;March;2015;38;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;290;180;470;Small;Black;Aluminum;2 Years;Manufacturer C;1;11.7;7;8;True;78.36;GLS;Standard;Premium;60 Days
04-03-2023;4;March;2023;38;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;218;135;353;Small;Red;Aluminum;2 Years;Manufacturer C;5;7.67;4;18;True;23.88;FedEx;Standard;None;30 Days
30-05-2022;30;May;2022;38;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;145;90;235;Large;Blue;Carbon Fiber;1 Year;Manufacturer D;5;4.62;5;16;True;5.52;FedEx;Standard;Basic;60 Days
30-05-2019;30;May;2019;38;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;145;90;235;Small;White;Steel;3 Years;Manufacturer C;2;3.75;6;20;True;82.47;Posti;Same Day;Basic;30 Days
28-06-2016;28;June;2016;38;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;10;45;120;726;450;1176;Large;Blue;Steel;1 Year;Manufacturer D;5;3.9;5;15;False;72.15;GLS;Express;Premium;No Return
28-06-2014;28;June;2014;38;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;508;315;823;Large;Red;Plastic;Lifetime;Manufacturer B;2;12.99;8;20;True;74.26;FedEx;Standard;None;7 Days
10-07-2018;10;July;2018;38;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;13;45;120;944;585;1529;Extra Large;White;Steel;3 Years;Manufacturer B;1;6.25;2;7;True;78.27;DHL;Next Day;Premium;7 Days
10-07-2018;10;July;2018;38;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;12;45;120;871;540;1411;Extra Large;Blue;Carbon Fiber;2 Years;Manufacturer B;4;7.04;7;1;True;12.03;Posti;Next Day;Premium;30 Days
12-03-2021;12;March;2021;54;Adults (35-64);F;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;391;315;706;Medium;Green;Aluminum;1 Year;Manufacturer D;4;9.45;6;7;True;39.05;GLS;Standard;Premium;60 Days
12-03-2015;12;March;2015;54;Adults (35-64);F;Australia;Queensland;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;335;270;605;Small;Black;Carbon Fiber;1 Year;Manufacturer C;4;1.31;6;24;False;16.01;GLS;Express;Premium;60 Days
03-09-2019;3;September;2019;51;Adults (35-64);F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;7;45;120;340;315;655;Medium;Green;Steel;Lifetime;Manufacturer D;5;7.38;8;24;True;86.99;Posti;Standard;Basic;30 Days
03-09-2013;3;September;2013;51;Adults (35-64);F;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;437;405;842;Extra Large;White;Steel;Lifetime;Manufacturer B;1;0.73;8;12;True;64.21;DHL;Next Day;Basic;60 Days
26-03-2023;26;March;2023;47;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;6;45;120;436;270;706;Medium;White;Steel;1 Year;Manufacturer C;5;11.3;4;11;False;36.44;GLS;Express;Premium;No Return
26-03-2014;26;March;2014;47;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;290;180;470;Medium;Red;Aluminum;1 Year;Manufacturer A;5;0.83;7;26;False;11.04;GLS;Same Day;Premium;7 Days
04-05-2020;4;May;2020;47;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;17;45;120;1234;765;1999;Extra Large;White;Plastic;Lifetime;Manufacturer D;1;10.72;7;11;False;34.54;DHL;Same Day;None;7 Days
04-05-2016;4;May;2016;47;Adults (35-64);F;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;16;45;120;1162;720;1882;Medium;Black;Aluminum;1 Year;Manufacturer C;1;3.41;7;25;True;35.89;Posti;Express;None;60 Days
04-02-2015;4;February;2015;46;Adults (35-64);M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;49;45;94;Extra Large;White;Steel;3 Years;Manufacturer B;1;12.28;2;28;False;74.31;DHL;Next Day;Basic;7 Days
04-02-2020;4;February;2020;46;Adults (35-64);M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;146;135;281;Extra Large;White;Plastic;3 Years;Manufacturer D;1;5.09;7;3;False;65.57;Posti;Express;Premium;60 Days
06-11-2016;6;November;2016;46;Adults (35-64);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;363;225;588;Medium;Green;Carbon Fiber;2 Years;Manufacturer A;4;13.62;7;6;False;89.29;DHL;Same Day;Basic;No Return
06-11-2018;6;November;2018;46;Adults (35-64);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;4;45;120;290;180;470;Medium;White;Aluminum;Lifetime;Manufacturer A;3;11.21;3;3;False;49.86;FedEx;Next Day;Premium;No Return
12-02-2022;12;February;2022;46;Adults (35-64);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;30;45;120;2178;1350;3528;Medium;Red;Aluminum;1 Year;Manufacturer C;3;3.55;6;28;False;16.36;UPS;Standard;None;60 Days
12-02-2017;12;February;2017;46;Adults (35-64);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;27;45;120;1960;1215;3175;Large;Blue;Steel;1 Year;Manufacturer A;1;13.33;1;15;True;72.76;GLS;Same Day;Premium;60 Days
17-05-2013;17;May;2013;46;Adults (35-64);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;5;45;120;363;225;588;Large;Green;Carbon Fiber;1 Year;Manufacturer B;3;0.8;1;4;False;77.27;GLS;Next Day;Premium;60 Days
17-05-2019;17;May;2019;46;Adults (35-64);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;2;45;120;145;90;235;Medium;Red;Plastic;3 Years;Manufacturer A;3;9.5;8;8;True;58.32;GLS;Standard;Basic;No Return
23-09-2013;23;September;2013;41;Adults (35-64);F;Germany;Hessen;Accessories;Bike Racks;Hitch Rack - 4-Bike;28;45;120;1865;1260;3125;Extra Large;Blue;Aluminum;Lifetime;Manufacturer C;1;12.7;8;21;False;78.24;Posti;Same Day;Premium;30 Days
23-09-2021;23;September;2021;41;Adults (35-64);F;Germany;Hessen;Accessories;Bike Racks;Hitch Rack - 4-Bike;29;45;120;1931;1305;3236;Extra Large;White;Steel;3 Years;Manufacturer A;3;2.38;8;1;True;51.91;UPS;Same Day;Basic;7 Days
20-09-2020;20;September;2020;32;Young Adults (25-34);M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;3;45;120;146;135;281;Extra Large;Black;Plastic;2 Years;Manufacturer B;5;1.16;6;27;False;54.66;FedEx;Next Day;Premium;60 Days
20-09-2017;20;September;2017;32;Young Adults (25-34);M;United States;Washington;Accessories;Bike Racks;Hitch Rack - 4-Bike;1;45;120;49;45;94;Large;White;Aluminum;2 Years;Manufacturer A;2;13.39;6;13;False;45.62;UPS;Express;Basic;60 Days
25-10-2017;25;October;2017;32;Young Adults (25-34);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;8;45;120;581;360;941;Small;Green;Plastic;3 Years;Manufacturer A;2;4.8;8;4;False;7.41;FedEx;Express;Premium;7 Days
25-10-2015;25;October;2015;32;Young Adults (25-34);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;9;45;120;653;405;1058;Medium;Red;Plastic;3 Years;Manufacturer C;1;10.15;9;22;False;15.25;GLS;Express;Premium;7 Days
11-05-2013;11;May;2013;32;Young Adults (25-34);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;26;45;120;1888;1170;3058;Extra Large;Green;Steel;3 Years;Manufacturer C;4;12.65;2;25;True;7.99;Posti;Standard;Basic;60 Days
11-05-2022;11;May;2022;32;Young Adults (25-34);M;United States;California;Accessories;Bike Racks;Hitch Rack - 4-Bike;27;45;120;1960;1215;3175;Medium;Green;Aluminum;3 Years;Manufacturer A;1;2.1;7;17;False;65.46;UPS;Standard;None;60 Days
